Zone,Broadleaf Evergreen Forest,Broadleaf Deciduous Forest,Mixed Broadleaf-Conifer Forest,Conifer Evergreen Forest,Conifer Deciduous Forest,Savanna,Shrub,Grass,Pasture,Cropland,Barren,Other
Af,T1,T1,T5,T5,0,0,S1,GX,APX,AC1,0,0
Am,T2,T2,T5,T5,0,0,S1,GX,APX,AC1,0,0
As,T3,T3,T3,T3,0,S1,S1,GX,APX,AC1,0,0
Aw,T3,T3,T3,T3,0,S1,S1,GX,APX,AC1,0,0
BSh,T3,T3,T3,T3,0,S1,S1,GX,APX,AC1,0,0
BSk,T6,T6,T6,T6,0,0,S3,GX,APX,AC2,B,0
BWh,0,0,0,0,0,0,S2,GX,APX,AC1,B,0
BWk,T6,T6,T6,T6,0,0,S3,GX,APX,AC2,B,0
Cfa,T4,T4,T5,T5,0,0,S4,GX,APX,AC2,0,0
Cfb,T8,T8,T7,T7,0,0,S4,GX,APX,AC2,0,0
Cfc,T8,T8,T7,T7,0,0,S4,GX,APX,AC2,0,0
Csa,T6,T6,T6,T6,0,0,S4,GX,APX,AC2,0,0
Csb,T8,T8,T7,T7,0,0,S4,GX,APX,AC2,0,0
Csc,0,0,0,0,0,0,S4,GX,APX,AC2,B,0
Cwa,T4,T4,T5,T5,0,S1,S1,GX,APX,AC1,0,0
Cwb,T4,T4,T5,T5,0,S1,S1,GX,APX,AC1,0,0
Cwc,0,0,0,0,0,0,S4,GX,APX,AC2,B,0
Dfa,0,T9,T9,T10,T10,0,S4,GX,APX,AC2,0,0
Dfb,0,T9,T9,T10,T10,0,S4,GX,APX,AC2,0,0
Dfc,0,T11,T11,T12,T13,0,S5,S5,APX,AC2,B,0
Dfd,0,T11,T11,T12,T13,0,S5,S5,0,AC2,B,0
Dsa,0,T9,T9,T10,T10,0,S4,GX,APX,AC2,0,0
Dsb,0,T9,T9,T10,T10,0,S4,GX,APX,AC2,0,0
Dsc,0,T11,T11,T12,T13,0,S5,S5,APX,AC2,B,0
Dsd,0,T11,T11,T12,T13,0,S5,S5,0,AC2,0,0
Dwa,0,T9,T9,T10,T10,0,S4,GX,APX,AC2,0,0
Dwb,0,T9,T9,T10,T10,0,S4,GX,APX,AC2,0,0
Dwc,0,T11,T11,T12,T13,0,S5,S5,APX,AC2,0,0
Dwd,0,T11,T11,T12,T13,0,S5,S5,0,AC2,0,0
ET,0,T11,T11,T12,T13,0,S5,S5,0,AC2,B,0
EF,0,0,0,0,0,0,S5,S5,0,AC2,0,0
